Gespraechs_ID,Projekt_ID,Teilnehmer_ID,Token_ID,Token2_ID,Token3_ID
9,6,9,3,1,1
9,6,9,1,4,1
9,6,9,1,1,1
3,5,3,3,3,3
7,6,7,2,1,1
4,5,4,2,5,2
1,5,1,2,4,1
8,6,8,1,5,3
9,6,9,3,1,3
8,6,8,4,3,2
1,5,1,5,5,5
2,5,2,6,2,3
4,5,4,3,4,1
8,6,8,1,4,5
8,6,8,4,1,4
3,5,3,2,1,3
6,6,6,2,1,5
1,5,1,3,3,4
1,5,1,5,2,1
2,5,2,2,5,2
9,6,9,3,2,4
4,5,4,5,4,3
9,6,9,3,1,3
9,6,9,2,1,1
4,5,4,2,3,1
7,6,7,3,3,1
7,6,7,2,4,1
2,5,2,1,5,3
9,6,9,4,5,1
4,5,4,1,3,1
9,6,9,1,1,4
3,5,3,3,1,4
4,5,4,4,3,1
3,5,3,5,4,4
2,5,2,1,5,1
5,6,5,2,2,1
9,6,9,4,4,3
